ENTIDAD;Abr;Calle;Número;Piso;Dto;CP;Ciudad;Provincia;Tel I;Tel II;Fax;Correo;Web Site
Federación Argentina de la Industria del Caucho - FAIC;;Libertad;567;Piso 1º;;1012;Capital Federal;Buenos Aires;(54) (11) 5218-6512;(54) (11) 5218-6514;(54) (11) 5218-6515;faic@faic.org;http://www.faic.org
Federación Argentina de Supermercados y Autoservicios - FASA;;Viamonte;342;Piso 2º;;1053;Capital Federal;Buenos Aires;(54) (11) 4510-1799;(54) (11) 4510-4471;(54) (11) 4510-1780;socios@fasa.com.ar;http://www.cas.com.ar
Federación Argentina del Comercio en Artefactos para el Hogar y Afines;;Florida;1;Piso 6;"Dpto 14 ""B""";1005;Capital Federal;Buenos Aires;(54) (11) 4342-3259;(54) (11) 4334-1985;(54) (11) 4342-3259;fedargentinaarthogar@hotmail.com;http://
Federación Centros Comerciales a Cielo Abierto Cascos Urbanos y Centros Históricos;;Florida;1;Piso 3º;;1005;Capital Federal;Buenos Aires;(54) (11) 5556-5556;;(54) (11) 5556-5502;cieloabierto@came.org.ar;http://
Federación de Cámaras de Lavaderos de Ropa, Limpierías y Afines de la República Argentina;;Valentín Gomez;3445 - 47;;;1191;Capital Federal;Buenos Aires;(54) (11) 4864 3885;;(54) (11) 4861 8007;fedelara@mail.abaconet.com.ar;http://www.fedelara.org.ar
Federación de Entidades Empresarias de Informes Comerciales de la República Argentina - FEEICRA;;Sarmiento;776;Piso 1º ;;1041;Capital Federal;Buenos Aires;(54) (11) 4864-2433;;(54) (11) 4864-2433;feeicra@iicsalta.com.ar;http://
Federación Económica de Catamarca - FEC;;República;1024;;;4700;San Fernando de Catamarca;Catamarca;(54) (03833) 430-275;(54) (03833) 15-653-776 (Cel. Secr. Cecilia Ahumada);(54) (03833) 430-275;secata@cedeconet.com.ar;http://
Federación Empresaria de Chubut;;Rivadavia;452;;;9000;Comodoro Rivadavia;Chubut;(54) (0297) 446-6500 // 447-0300;;(54) (0297) 452-999;cacomcr@speedy.com.ar;http://
Federación Argentina de Papelerías, Librerías y Afines - FALPA;;Avenida General Paz;81;Piso 4º;Of.1;5000;Córdoba;Córdoba;(54) (0351) 421-3558;;;calipacer@gmail.com;http://www.calipacer.org.ar
Federación Empresarial de Corrientes - FECORR;;Avenida Italia;420;Piso 2º;;3400;Corrientes;Corrientes;(54) (03783) 427-123;;;gerenciafecorr@gmail.com;http://www.fecorr.com.ar
Federación Ecónomica de la Pcia. de Santa Cruz - FESC;;9 de Julio;32;;;9400;Río Gallegos;Santa Cruz;(54) (02966) 420-870;;;ccomriog2@speedy.com.ar;http://
Federación Económica Fueguina;;Leopoldo Lugones;1781;;;9410;Ushuaia;Tierra del Fuego;(54) (02901) 437-872;;;ushuaiabureau@speedy.com.ar;http://
