ENTIDAD;Abr;Calle;Número;Piso;Dto;CP;Ciudad;Provincia;Tel I;Tel II;Fax;Correo;Web Site
Cámara Argentina del Comercio e Industria Dental - CACID;;Pasteur;Nº 765;Piso 3°;;1028;Capital Federal;Buenos Aires;(54) (11) 4953-3867;(54) (11) 4952-9376;(54) (11) 4952-9376 * 9;info@cacid.org;http://www.expodent.com.ar
Cámara Argentina del Papel y Afines - CAPA;;Carlos Calvo;N°1247;;;1102;Capital Federal;Buenos Aires;(54) (11) 4304-2367;;(54) (11) 4306-5671;info@camarapapel.org.ar;http://www.camarapapel.org.ar
Cámara Argentina Fabricantes de Maquinaria Agrícola - CAFMA;;Hipolito Yrigoyen;Nº 1534;Piso 5º;;1088;Capital Federal;Buenos Aires;(54) (11) 4381-4444;;(54) (11) 4381-4444 int. 104;camara@cafma.org.ar;http://www.cafma.org.ar
Cámara Argentina Fraccionadora, Almacenadora, Comercializadora - no productora - de Gas Licuado de Petróleo - CAFRAGAS;;Balcarce;N° 226;Piso 1º;Ofic. 5;1064;Capital Federal;Buenos Aires;(54) (11) 4342-0768;(54) (11) 4342-9762;(54) (11) 4342-0768;cafragas@speedy.com.ar;http://
Cámara de Autoservicios y Supermercados Propiedad de Residentes Chinos - CASRECH;;Av. Belgrano;N° 1688;;;1093;Capital Federal;Buenos Aires;(54) (11) 5218-8666/64;(54) (11) 5218-8656;(54) (11) 5218-8666;info@casrech.com;http://www.casrech.com
Cámara de Comerciantes en Repuestos del Automotor - CCRA;;Bernardo de Irigoyen;N° 546;Piso 7º;;1072;Capital Federal;Buenos Aires;(54) (11) 4334-9154;;(54) (11) 4334-9166;info@ccra.org.ar;http://www.ccra.org.ar
Cámara de Comerciantes Mayoristas e Industriales de la República Argentina - CADMIRA;;Junín;N° 265 - 267;PB;;1026;Capital Federal;Buenos Aires;(54) (11) 5273-4441/2;(54) (11) 4953-4441;(54) (11) 5273-4443;info@cadmira.org.ar;http://www.cadmira.org.ar
Cámara de Comercio, Industria y Producción de la República Argentina - CACIPRA;;Florida;Nº 1-15;Piso 4°;;1005;Capital Federal;Buenos Aires;(54) (11) 4342-8252;(54) (11) 4343-5638 ;(54) (11) 4331-9116;cacipra@fibertel.com.ar;http://www.cacipra.org.ar
Cámara de Comercio, Industria, Profesionales, y Prestadores de Servicio de Villa Pueyrredón;;J.G. de Artigas;Nº 4786;Piso 1°;Of. 6;1419;Capital Federal;Buenos Aires;(54) (11) 4574-1786;;(54) (11) no tienen fax;camaradecomerciovp@argentina.com;http://
Cámara de Empresarios de Joyerías y Afines de la República Argentina - CEJARA;;Bartolomé Mitre;N° 1371;Piso 4º;Dpto. L;1036;Capital Federal;Buenos Aires;(54) (11) 4373-3948;;(54) (11) 4371-0811(int. 102);info@camarajoyeria.com.ar;http://www.camarajoyeria.com.ar
Cámara de Empresarios Madereros y Afines - CEMA;;Juan E. Maza;N° 578;Piso 1º;;1220;Capital Federal;Buenos Aires;(54) (011) 4957-1111;(54) (011) 4957-2046;(54) (011) 4931-6940;info@cema.com.ar;http://www.cema.com.ar
Cámara de Empresas de Monitoreo de Alarmas - CEMARA;;Sarmiento;Nº 1334;Piso 2º;;1041;Capital Federal;Buenos Aires;(54) (11) 4372-9754;(54) (11) ;;info@cemara.org.ar;http://www.cemara.org.ar
Cámara de Empresas de Software y Servicios Informáticos de la República Argentina - CESSI;;Paraguay;Nº 541;Piso 6º y 7º;;1057;Capital Federal;Buenos Aires;(54) (11) 5217-7802 int 105;(54) (11) 5217-7805;(54) (11) 5258-2822 ;info@cessi.org.ar;http://www.cessi.org.ar
Cámara de Empresas de Turismo Rural de Argentina - CETRA;;Carlos Pellegrini;N°465;Piso 10º°;Of.75;1009;Capital Federal;Buenos Aires;(54) (11) 4328-5547;;(54) (11) 4328-5547;consultas@cetrargentina.org.ar;http://www.cetrargentina.org.ar
Cámara de Fabricantes de Inyectables de Gran Volumen  - CIGVA;;Lavalle;Nº 557;Piso 6°;;1047;Capital Federal;Buenos Aires;(54) (11) 4632-0703;;(54) (11) 4633-5871;vrs@rivero.com.ar;http://
Cámara de Fabricantes de Muebles, Tapicerías y Afines de Argentina - CAFYDMA;;Carlos Calvo;Nº 2861;PB;"Dpto. ""A""";1230;Capital Federal;Buenos Aires;(54) (11) 4308-1515;;(54) (11) 4308-1336;info@cafydma.org;http://www.cafydma.org
Cámara de Ferreterías y Afines de la República Argentina - CAFARA;;Lavalle;Nº 1646;Piso 3°;"Dto. ""A""";1048;Capital Federal;Buenos Aires;(54) (11) 4372-8876;(54) (11) 4372-6309;(54) (11) 4372-8876;info@cafara.org.ar;http://www.cafara.org.ar
Cámara de Hoteles y Afines de Capital Federal;;Combate de los Pozos;Nº 256;Piso P.B.;;1080;Capital Federal;Buenos Aires;(54) (11) 4373-0508;;(54) (11) 4373-0508;camaradehoteles@fibertel.com.ar;http://
Cámara de Importadores de la República Argentina - CIRA;;Belgrano;Nº 427;Piso 7º;;1092;Capital Federal;Buenos Aires;(54) (11) 4342-0523;(54) (11) 4342-1101;(54) (11) 5258-1663;cira@cira.org.ar;http://www.cira.org.ar
Cámara de Informática y Comunicaciones de la República Argentina - CICOMRA;;Avenida Córdoba;N° 744;Piso 2º;"Dto. ""D""";1054;Capital Federal;Buenos Aires;(54) (11) 4325-8839;;(54) (11) 4325-9604;cicomra@cicomra.org.ar;http://www.cicomra.org.ar
Cámara de la Industria de Artículos de Librería - CIAL;;Hipólito Yrigoyen;Nº 1994;Piso 3°;"Of. ""3""";1089;Capital Federal;Buenos Aires;(54) (11) 4952-1002;;(54) (11) 4952-1002 Int. 107;camara@cial.org.ar;www.expopapeleria.com.ar
Cámara de la Industria Fotográfica Argentina - CIFA;;Lavalle;Nº 1718;Piso 10º;"Dpto. ""C""";1048;Capital Federal;Buenos Aires;(54) (11) 4373-5445;(54) (11) 4373-2432;(54) (11) 4373-5444;cifa@fibertel.com.ar;http://www.cifa.org.ar
Cámara de la Piedra de la Provincia de Buenos Aires;;Sarmiento;Nº 347;Piso 2°;Of 11;1041;Capital Federal;Buenos Aires;(54) (011) 4325-5843;(54) (011) ;(54) (011) 4325-5843;info@camaradelapiedra.org.ar;http://
Cámara de Mujeres Pymes;;Bolívar;Nº 1236;Piso 3º;Of. A;1141;Capital Federal;Buenos Aires;(54) (011) 4361-3478;(54) (011) 4342-7027;;camaramujerespymes@ciudad.com.ar;http://
Cámara de Perfumerías de Argentina;;Corrientes;Nº 5211;;;1414;Capital Federal;Buenos Aires;(54) (11) 5236-1100 opc. 1 int. 115;;(54) (11) 5236-1100 opc.  1 Int. 115;merco@pozzi.com.ar;http://
Cámara de Prestadores Postales de la República Argentina;;Rodríguez Peña;Nº 145;Piso 6º;Oficina D;1020;Capital Federal;Buenos Aires;(54) (11) 4372-7351;;(54) (11) 4372-7351;alpingeon@hotmail.com;http://
Cámara del Confort y del Comercio en Artefactos para el Hogar;;Florida;N° 15;Piso 6;;1005;Capital Federal;Buenos Aires;(54) (11) 4334-1985;(54) (11) 4342-3259;(54) (11) 4342-3259;elvikingo73@hotmail.com;http://
Cámara del Mármol, Piedra y Granito de la República Argentina;;Santiago del Estero;Nº 366;Piso 8º;Ofic. 82;1075;Capital Federal;Buenos Aires;(54) (11) 4383-1356 (de 13-18hs);;(54) (11) 4931-2830;camarmol@camarmol.com.ar;http://www.camarmol.com.ar
Cámara Empresaria de Turismo por Autotransporte;;Avenida Constituyentes;Nº 3594;Piso 1º;;1431;Capital Federal;Buenos Aires;(54) (11) 4572-6171;;(54) (11) 45726171;laisecarlos@yahoo.com.ar;http://
Cámara Fabricantes de Bolsas;;Dean Funes;Nº 2063;Piso P.B.;;1244;Capital Federal;Buenos Aires;(54) (11) 4943-3611;(54) (11) 4943-3847;(54) (11) 4943-3848;crivelli@molesweb.com;http://www.anicetomoles.com.ar
Cámara Inmobiliaria Argentina - CIA;;Bartolomé Mitre;Nº 784;Piso 5º;;1036;Capital Federal;Buenos Aires;(54) (11) 5031-3333;;(54) (11) 5031-3333 int.19;secretaria@cia.org.ar;http://www.cia.org.ar
Centro de Comerciantes de Belgrano;;Arcos;Nº 2191;;;1426;Capital Federal;Buenos Aires;(54) (11) 4786-1500;;(54) (11) 4786-1500;distefano@ciudad.com.ar;http://
Consejo Consultivo de Concesionarios Ford;;Lima;Nº 265;Piso 2º;Dpto. 6;1073;Capital Federal;Buenos Aires;(54) (11) 4383-4450;;;conseford@acara.org.ar;http://
Dompra S.R.L.;;Pte. Luis Saenz Peña;Nº 1678;;;1076;Capital Federal;Buenos Aires;(54) (11) 4304-9371;(54) (11) 4383-0891;(54) (11) 4304-9371;gerencia@dompra.com.ar;http://www.dompra.com.ar
Liga de Almaceneros Autoservicios de Capital Federal;;Moreno;Nº 1768;;;1093;Capital Federal;Buenos Aires;(54) (11) 4372-5202;;;ligadealmaceneros@yahoo.com.ar;http://
Primer Centro de Comerciantes, Vecinos, Instituciones y Profesionales de Liniers;;Avenida Rivadavia;Nº 11.564;;;1408;Capital Federal;Buenos Aires;(54) (11) 4644-3700;;(54) (11) 4641-0013/4644-3700;cecovip@yahoo.com;www.geocities.com/cecovip
Unión Kiosqueros de la República Argentina;;Scalabrini Ortíz;Nº 832;Piso 1°;;1414;Capital Federal;Buenos Aires;(54) (11) 4777-7001;(54) (11) (M/J de 15/18hs);(54) (11) 4777-7171(Fax);ukra@ciudad.com.ar;http://
Asociación Amigos del Paseo Rivadavia y Adyacencias;;Rivadavia;Nº 232;Entre Piso;;1878;Quilmes;Buenos Aires;(54) (11) 4257-0954;;(54) (11) 4253-5119;;http://
Asociación Comercial e Industrial de Morón - ACIM;;Avenida Rivadavia;Nº 18236;Piso PB;;1708;Morón;Buenos Aires;(54) (11) 4629-9649;(54) (11) 4697-1199;(54) (11) 4627-5959;acim@acim.org.ar;http://www.acim.org.ar
Asociación Comerciantes Afines a la Construcción del Gran Buenos Aires - ACALCA;;Maipú ;Nº 228;;;1870;Avellaneda;Buenos Aires;(54) (11) 4207-2853;;(54) (11) 4207-2853;acalcarevista@yahoo.com.ar;http://
Asociación Comerciantes, Industriales y Productores de Luján - ACIP ;;Bartolomé Mitre;Nº 350;;;6700;Luján;Buenos Aires;(54) (02323) 421-265;;(54) (02323) 435-005;acip@telered.com.ar;http://
Asociación de Comerciantes, Empresarios y Profesionales de Exaltación de La Cruz;;Migliaro;N° 1051;;;2812;Capilla del Señor;Buenos Aires;(54) (02323) 491-668 (particular);;(54) (02323) 011- 4240-8241 (Laboratorio del Esposo Sra. Britos);aliciabbabich@yahoo.com.ar;http://
Asociación de Comerciantes, Industriales y Profesional de Hurlingham - ACIPH;;Pedro de Mendoza;N° 1284;;;1686;Hurlingham;Buenos Aires;(54) (11) 4452-5724;;(54) (11) 4665-0727;info@aciph.com.ar;http://www.aciph.com.ar
Asociación de Comercio e Industria de Monte Hermoso - ACIMH;;Nelly Fossatti y Dorrego;Nº 113;;;8153;Monte hermoso;Buenos Aires;(54) (02921) 483-026;;;camaramh@gmail.com;http://www.acimh.com.ar
Asociación de Industriales de la Provincia de Buenos Aires - ADIBA ;;Calle 56;Nº 338;;;1900;La Plata;Buenos Aires;(54) (03461) (sin prefijo) 4331-2355;(54) (03461) 423-8376;;info@adiba.org.ar;http://
Cámara Argentina de Importadores y Exportadores de Flores, Plantas y Afines - C.A.I.E.F.P y A.;;Almirante Brown;N° 929;Piso 7º;Dpto. D;1708;Morón;Buenos Aires;(54) (11) 156-890-6472 (Pte. Horacio Fernádez);(54) (11) 4627-6167 (Estudio);(54) (11) 4489-4656;camaraflores@yahoo.com.ar;http://
Cámara Argentina de Mercados Frutihortícolas;;Avenida Andrés Rolón;N° 2560;;;1643;San Isidro;Buenos Aires;(54) (11) 4723-1422;(54) (11) 9 -11 Hs.;(54) (11) 4723-1422 int274;camf@sinectis.com.ar;http://www.mercadobeccar.com.ar
Cámara Argentina de Tintorerías y Ayuda Mutual - CATYAM;;Avenida Rivadavia;Nº 12320;;;1702;Ciudadela;Buenos Aires;(54) (11) 4653-9862;;(54) (11) 4653-9862;camaracatyam@yahoo.com;http://
Cámara Argentina Distribuidores de Alfombras, Revestimiento y Afines - CADARA;;Rawson;N° 2599;Piso 1º;Dpto. A;1636;Olivos;Buenos Aires;(54) (11) 4951-6277 CIAL (Preguntar por Arturo Herrera);;(54) (11) 4951-6277 INT 107;mherrera@fibertel.com.ar;http://www.cial.com.ar
Cámara Comercial del Calzado;;Avenida Libertador;Nº 634;;;1722;Merlo;Buenos Aires;(54) (0220) 482-2327;;(54) (0220) 482-2327;osvaldo_libo@ciudad.com.ar;http://
Cámara Comercial e Industrial de Bolívar;;Las Heras;N° 45;Piso P.B.;;6550;Bolívar;Buenos Aires;(54) (02314) 427-327;(54) (02314) 428-900;(54) (02314) 427-603;camarabolivar@speedy.com.ar;http://
Cámara Comercial e Industrial de Tigre - CACIT ;;Montes de Oca - esquina Avenida Cazón e Italia;Nº 442;;;1648;Tigre;Buenos Aires;(54) (11) 4731-4860;;(54) (11) 4731-8460;info@cacit.com.ar;http://www.cacit.com.ar
Cámara Comercial, Industrial y Bienes Raíces de Florencio Varela;;Mitre;Nº 249;;;1888;Florencio Varela;Buenos Aires;(54) (11) 4287-6318;;(54) (11) 4255-0087;camaracomerciovarela@ciudad.com.ar;http://
Cámara Comercial, Industrial y de Servicios de Rauch;;San Martín;Nº 185;;;7203;Rauch;Buenos Aires;(54) (02297) 442-610;;(54) (02297) 440-402;camcomrauch@ciudad.com.ar;http://
Cámara Comercial, Industrial y Profesional de Tortuguitas - CCT;;Juan F. Segui;Nº 3989;;;1667;Tortuguitas;Buenos Aires;(54) (02320) 494-056;;(54) (02320) 494-056;romnatnav_2006@hotmail.com;http://www.informaweb.com.ar
Cámara de Comerciantes, Industriales, Profesionales y de Servicios de Virrey del Pino;;Gorostiaga;Nº 5845;Local 2;;1763;Virrey del Pino;Buenos Aires;(54) (02202) 441-711;;(54) (02202) 441-711;info@virrey-del-pino.com.ar;http://
Cámara de Comerciantes, Profesionales e Industriales de Los Polvorines;;25 de Mayo;Nº 2607;;;1613;Los Polvorines;Buenos Aires;(54) (11) 4663-8814;;;camaradecomerciodelospolvorines@yahoo.com.ar;http://
Cámara de Comercio de Beccar;;Avenida Centenario;Nº 1891;;;1643;Beccar;Buenos Aires;(54) (11) 4732-2030;;(54) (11) 4732-2030;camarabeccar@fibertel.com.ar;http://
Cámara de Comercio e Industria de Arrecifes - CCIA;;Lamadrid;Nº 154 - 58;;;2740;Arrecifes;Buenos Aires;(54) (02478) 451-285;(54) (02478) 451-285;(54) (02478) 451-057;cciarrecifes@speedy.com.ar;http:/
Cámara de Comercio e Industria de Balcarce;;Calles 20 y 19;Sin Nro.;;;7620;Balcarce;Buenos Aires;(54) (02266) 422-993;(54) (02266) 155-31565 (Pte. Cam);(54) (02266) 425-899;stoppaniriegos@infovia.com.ar;http://www.camarabalcarce.com.ar
Cámara de Comercio e Industria de Berisso - CCIB ;;Calle 7;N° 4477;;;1923;Berisso;Buenos Aires;(54) (0221) 461-3259;;(54) (0221) 461-7136;cciberisso@hotmail.com;http://www.ccibsso.com.ar
Cámara de Comercio e Industria de Burzaco;;Julio. A. Roca;Nº 843;;;1852;Burzaco;Buenos Aires;(54) (11) 4299-3300;(54) (11) 4238-4603;(54) (11) 4299-3300;camaradeburzaco@hotmail.com;http://
Cámara de Comercio e Industria de Carmen de Areco - CDCEICDA ;;Belgrano;Nº 743;;;6725;Carmen de Areco;Buenos Aires;(54) (02273) 442-775;;(54) (02273) 442-775;cdceicda@yahoo.com.ar;no tiene
Cámara de Comercio e Industria de Chacabuco;;Avenida Saavedra (esquina);Nº 51;;;6740;Chacabuco;Buenos Aires;(54) (02352) 431- 411;(54) (02352) (02362)156-76121(Sr. Gardella);(54) (02352) 431-675;camchac@cech.com.ar;http:// www.camarachacabuco.com.ar
Cámara de Comercio e Industria de Coronel Suárez;;Rivadavia;Nº 43;;;7540;Coronel Suarez;Buenos Aires;(54) (02926) 422-177;;(54) (02926) 431-940;camaradecomercio@velonetsuarez.com.ar;http://
Cámara de Comercio e Industria de Dolores;;J. B. Alberdi;Nº 375;;;7100;Dolores;Buenos Aires;(54) (02245) 447-178;;(54) (02245) 44-2440;cicodo@speedy.com.ar;http://
Cámara de Comercio e Industria de La Plata - CCILP ;;Avenida 53;Nº 720;;;1900;La Plata;Buenos Aires;(54) (0221) 483-8206;(54) (0221) 425-2172/482-7981;(54) (0221) 425-7828;gerencia@ccilp.org.ar;http://
Cámara de Comercio e Industria de Laprida;;Avenida Pedro Pereyra;N° 1361;;Loc 3;7414;Laprida;Buenos Aires;(54) (02285) 420-670;;;camaralaprida@hotmail.com;http://
Cámara de Comercio e Industria de Merlo - CACIM ;;Juncal;Nº 724;;;1722;Merlo;Buenos Aires;(54) (0220) 483-2050;;(54) (0220) 483-2050;cacim@infovia.com.ar;http://
Cámara de Comercio e Industria de Pergamino - CCIPER ;;Florida;Nº 821;;;2700;Pergamino;Buenos Aires;(54) (02477) 430-079;(54) (02477) 430-080;(54) (02477) 430-078;gerencia@camarapergamino.org.ar;http://www.camarapergamino.org.ar
Cámara de Comercio e Industria de San Cayetano;;San Martín y Belgrano;;;;7521;San Cayetano;Buenos Aires;(54) (02983) 471-506;;;;http://
Cámara de Comercio e Industria de Trenque Lauquen;;Avenida Villegas;Nº 150;;;6400;Trenque Lauquen;Buenos Aires;(54) (02392) 412-000;;;camcomtlauq@cetl.com.ar;http://www.tlauquen.com.ar
Cámara de Comercio e Industria del Partido de San Isidro - CCIPSI ;;Belgrano;Nº 262;Piso 2°;Oficina 201;1643;San Isidro;Buenos Aires;(54) (11) 4743-7687;(54) (11) 9/17hs;(54) (11) 4743-7687;info@camarasanisidro.org.ar;www.camarasanisidro.org.ar
Cámara de Comercio e Industria del Partido de San Miguel - CCISM ;;Sarmiento;Nº 1663;Piso 1º;;1663;San Miguel;Buenos Aires;(54) (11) 4664-1518 ;(54) (11) 4667-3405;(54) (11) 4664-1518;info@ccism.com.ar;http://www.ccism.com.ar
